YEAR,W_1_1,W_1_2,W_1_3,W_1_4,W_2_1,W_2_2,W_2_3,W_2_4,W_3_1,W_3_2,W_3_3,W_3_4,W_4_1,W_4_2,W_4_3,W_4_4,W_5_1,W_5_2,W_5_3,W_5_4,W_6_1,W_6_2,W_6_3,W_6_4,W_7_1,W_7_2,W_7_3,W_7_4,W_8_1,W_8_2,W_8_3,W_8_4,W_9_1,W_9_2,W_9_3,W_9_4,W_10_1,W_10_2,W_10_3,W_10_4,W_11_1,W_11_2,W_11_3,W_11_4,W_12_1,W_12_2,W_12_3,W_12_4,W_13_1,W_13_2,W_13_3,W_13_4,W_14_1,W_14_2,W_14_3,W_14_4,W_15_1,W_15_2,W_15_3,W_15_4,W_16_1,W_16_2,W_16_3,W_16_4,W_17_1,W_17_2,W_17_3,W_17_4,W_18_1,W_18_2,W_18_3,W_18_4,YIELD_1,YIELD_2,YIELD_3,YIELD_4,T,R
14,21.23320262768122,19.692890761102703,21.7620619987597,17.518514180509335,22.8271892293644,20.42684828867243,22.725793489513013,18.240883370243125,22.61410001167139,20.807766175418188,23.2975241715532,18.60335528935351,31.64037279973841,30.593959695271003,30.0134892517382,29.70372205945873,27.927740885919945,25.935720178159368,27.115990713033312,23.61131335213637,21.507824279755784,19.09124331583556,23.13260736235065,16.543333416028453,21.414381219536526,19.42764994351563,23.7941264155312,16.384305823637348,21.798809187714077,18.893247906076816,24.01322072636544,16.672780353004498,18.646305721185605,16.054516607734694,21.58517222508053,14.88769575495566,3.317188227010908,3.0381643855971348,3.191274930322768,4.065354401954281,0.3892738224040019,1.1073641314134997,1.1508580032029752,1.2300999734331186,2.579497258412748,2.706736591286273,6.921013816485446,6.300324828605801,0.910164840172068,1.0920306374823316,2.405716920761797,2.796895936205868,0.5336027921700094,0.1764288158389811,1.0069371945341268,1.4172493165852695,1.95772440405738,4.449178352778716,0.8306136684246056,4.323642815384787,1.5888104656612057,2.9539569219777437,4.888686817877291,5.303774276041343,0.8027425509560056,0.9876368547360418,2.5582410704399186,1.1400404160342914,0.5743835337988492,1.4030804177543823,6.5281191671046725,0.8947921451108268,8.82,9.08,12.54,3.92,21.948323855211278,1.825015474532995
17,15.152642064649152,11.617620822428828,16.43214613328137,8.431496577698924,22.30094303839094,19.48121578686985,22.479808864414917,16.23598784639228,28.26354607457777,25.69762572826697,28.555094042563024,24.27240191126831,26.92805808655816,24.747140016120547,26.62397018902385,22.87250898404759,25.224287255846345,23.196067429681825,25.3181839391003,21.08151242995516,24.619268915355985,21.84522384598488,25.417067244241423,18.84290961905147,24.61564776119781,21.85445687500385,25.21287431375817,18.39248539094112,20.53190035526582,18.36103789432922,23.28136643749405,16.354690099740402,18.14720410019991,15.25043434921946,21.84874527183217,14.4905867316356,1.4314135931543257,0.8599404361124157,1.271025582237302,1.0950140437369014,0.97234633293806,1.760533428944393,2.6776064823232217,2.4957614533478782,0.1147832273614661,0.4873311986378563,2.215628945901378,1.3511683549789746,0.2389431172779026,0.7817880315349915,4.0101528328961775,1.1857403973657528,1.8569877342710075,4.631819514600922,4.781167726751784,3.760605631763441,0.4677551165583909,0.8725567161966806,0.8987754201419106,0.6475427949777938,0.7742317167866577,1.7261433006847255,3.321062836659934,4.715654322110952,0.8551199610745398,1.1152851708354143,1.394898373828085,5.982159590513097,1.5983405298320743,2.2268300664698164,3.918197627845728,2.5266917609412567,5.27,6.79,14.68,0.65,21.221615456288546,2.0111529195280626
25,19.81123077525806,19.237948595854917,21.24187675497477,15.886119918335524,18.21562115677564,15.93236488986796,19.61343226651689,13.593439481950025,22.21146409367734,19.768256299103506,22.71721750178488,17.22364607497353,23.61070582651276,22.410910694972134,24.25550813642743,19.9173020918042,24.966423914636216,22.02262831690553,25.64444443557992,19.901845203721894,27.40764640070833,24.94457080183269,27.857420518273937,22.974403266971425,24.110396631056595,23.23254374283645,25.153254144131544,20.294820023215944,22.920976215045577,20.023056264861268,25.77491129655016,19.088312030822888,18.811174568908083,15.410171879631784,23.06710040621317,14.134439246079552,1.5375510891448607,1.1993425490887106,10.45513333567278,2.4731010095877286,2.254110837232395,2.4375769365518107,4.698284078591064,4.163078033716594,4.203042948164501,2.5276951180509046,1.94544430088017,3.396269413431022,0.7242276510307996,1.7848315522062363,2.0709036994676477,4.635183583851976,1.62648502720963,1.8825508205587225,2.1237486738588625,2.6833323494025985,1.3821605760034497,1.8910342061991376,2.74248314392647,1.4643128688467173,3.888317412272372,4.265372588014129,7.32546126520607,5.542271030936005,0.945297797940364,0.4756616611763195,0.6206423480828684,1.3662546687044608,0.6838933894322602,0.7536525792899923,2.62702137102176,0.9147674897816888,7.24,7.87,9.63,1.05,21.205210662965907,2.0842711793801874
47,18.40472032510737,17.37470285952861,20.22382292506715,15.348532475956787,20.943003862428736,17.87301079207534,22.013069132326667,16.216390102581972,28.432431609462988,25.020513244559897,27.43207839029406,23.555797934409892,26.73359622442248,24.163358317477467,26.09633508064533,22.39846426321392,24.126640246479564,21.132238096809655,25.44204696111455,18.82818536190924,24.710852912007272,22.11607549078309,25.16016391799418,20.32744728609638,24.92150797907758,21.39082120271652,25.184034505059003,19.074389781408332,21.68419689250163,19.79741410892536,23.79159008398648,18.26324380890583,17.99963145977927,15.814812750482846,20.76176061836938,14.186561200389855,3.723633082622316,2.1174164819916736,5.979960601193605,4.046988918404405,0.5582392668394501,1.92773262207626,1.7381105196881133,2.237963424937935,0.203235024138151,0.1077507549621021,0.0739250232982035,0.8364704457909932,0.0749355095552266,2.030660636466173,2.522089296916557,1.7533384906546534,1.5610349930004097,2.3617133147309457,2.8777100247606726,1.1840925255445582,3.1434681265790934,3.815459559324507,3.2554850064000846,1.1102481531771695,0.4935773557991993,0.4313091138352126,0.9973317682277608,2.0052205402847783,3.581052885793622,1.8543112641673487,3.553277310841674,1.2194525249050858,3.3906057749362244,1.1598778016505762,3.689546664785413,2.525810838245675,4.65,7.15,10.72,1.88,21.581762283454292,2.140852969759171
75,21.066657604480813,19.14273298826357,22.844635541977333,17.896347347078724,22.511830223003365,21.61093414702142,22.988320108967592,19.71538738091058,25.983269448628896,23.00185409724457,25.308317108916626,20.298203966982864,25.661675323927177,23.431235558874103,25.005050616222118,20.845950796539206,27.99228592067086,25.71958035681603,26.892460065681497,24.843624302794435,22.430324673060618,19.67962983277768,23.72152065617158,16.33724829057727,23.57300900568257,20.94607016239653,25.146319106031854,17.750350476948114,24.560019979568416,21.429129629248497,26.1019778386958,19.57737677108682,17.572992710912757,14.825939824687785,20.7165810208182,13.788636333334717,2.2348864080557624,1.777645745821704,4.538513336419237,3.114968264603207,1.6959457168079293,2.119186156987762,1.390651543126297,3.181380136804801,0.121604440160406,0.2258710436412144,1.9649397496985472,1.1141324361597171,1.110364170831553,3.2638593143992525,3.213428314726833,3.678303086736297,0.890223382686456,2.586514182585076,1.444661681817767,1.6042098955029291,0.6604012849147453,0.5578479962551632,2.1157743311821235,1.2369742750299215,0.9968653579634204,0.6919978291721846,4.417069193385122,2.0763938040472865,0.3255897568850133,1.2165494064503526,5.494115054569068,2.668692301891727,0.4028716031296586,0.6363429689558959,4.103366842935208,0.4988775637207587,6.71,4.99,12.64,2.51,21.96992997825003,1.8635468263890098
86,18.932188893462644,17.153640725273075,19.77959595943268,13.9379460321299,22.204989710032294,19.63341025753255,22.760789255433306,17.482873935751634,21.70620922919392,19.24935455621197,23.33914261621002,17.838994693250154,27.0007102589622,25.36709823389004,26.971217157406368,23.439618492278434,26.728567485338527,25.12619070859855,26.877299620471057,22.62545325547519,27.76114859635087,25.630995751391996,27.42357808077349,24.25576224558715,25.171678330355324,22.674647891739028,26.333942103751724,19.646791595103075,18.5996603909487,16.739413862666755,22.021721923247902,14.701304497115228,15.648081592688603,12.497113272246166,18.80584470136908,10.51985755160202,1.6219740184843487,1.2839805124481452,2.6237684155210337,2.580528621809071,0.4910684572172016,0.5171017020501447,0.9499634242187808,0.897189297092629,1.9236953443440477,1.731444837911828,5.544692898919751,4.685137344135705,1.321458193035174,1.9795072927771564,1.3281098959986148,2.8939021627154724,0.9325012150349516,2.8467056634549666,3.528133773218619,0.7062289309516998,1.6948142759216946,1.4461962856919368,4.390203963572708,3.254683847719167,1.0370186581243117,3.1934017571238797,1.9797912998094496,0.8193606861892692,3.771041868043736,2.2011499393485194,5.94598757247443,3.5369891442286465,1.8249095061629348,1.8188204828009336,1.688542097027511,2.314465494913251,7.17,9.38,14.51,2.1,21.2940787073131,2.1935371250076803
98,19.11482764899004,17.25647485726961,19.658746087715045,13.013676037445055,22.115965880281816,20.08984626102517,23.29616871551441,18.174308834771644,25.331838630125283,23.444566541295977,25.346928382311013,20.96006793072164,26.06742751210676,24.411108382814994,26.008272527358184,22.18070076255325,25.12683368245444,22.96237011212599,25.719582013184,21.870475704054343,28.02465662532209,25.295658991643545,27.555287801847907,22.70101546488947,22.99286622670847,20.3385355456777,23.72934658919544,17.398419404249175,22.142383485519577,19.887290685938392,24.483851564756115,18.382406745266728,15.909828099227356,13.196997778205288,17.569760513655904,10.167643714590223,0.4299840955250165,0.8407653794466008,1.8058252857033088,3.838715754064794,1.070883034134983,1.9313991972382785,8.410064147773792,2.23681706703933,1.4999558787147231,1.7318637817111835,3.815957381221632,6.261439708162884,3.3236538029194733,1.8160857196453917,6.80466347555906,2.3359134826822787,0.0200586159549691,0.6904276153934183,1.6935394744136172,2.018926996465696,0.0074651407910641,1.0280338715676391,3.0001170534562416,1.9553141975304829,0.530318684609943,2.3104955962329385,4.479961297047206,4.617560273603983,1.3745952198653346,1.4996658504847111,3.614946154095006,6.077876111551023,0.8189103755879553,1.9326912514102252,5.946068207021491,2.69608865241012,6.36,6.18,13.71,1.37,21.442392659466996,2.057849953864945
106,16.515584792424388,13.42694655856005,17.28381933804464,10.968465061032042,19.440422201580468,18.093768276005108,20.07870372453824,15.699666608057097,24.03657136393587,22.842379149313675,23.563194958435304,19.12597398957457,26.377158076009746,24.72746579182829,25.864627811189543,23.24427998669949,27.907249604346383,26.10059490627768,27.59646699840797,24.570319158954792,25.619530050468967,23.075630231325214,26.41115592809913,21.828549919185058,23.463500619864263,21.20052348475821,24.77446860189153,19.98328036095101,21.40718795933353,18.551988883052083,23.957673722545778,16.352017365410994,21.30212201344112,18.255621847337284,25.34371095783056,18.338777215941157,1.378290395226461,1.600749142604915,2.701707472032601,1.1826628172584364,3.651429164392269,2.9333144386641905,5.611803518110344,5.143685953344495,2.8726841141336714,1.5127860304609846,4.0903558323664,4.334680970302989,1.413293349290123,2.594641493079785,2.6225191159754884,1.938449739698454,1.276390728419016,2.872215487371588,4.181043292258281,0.807232287665659,0.921272885843942,1.6687305517489548,1.4226287044314456,0.7293520106958977,2.773331953982324,2.3447116010464053,3.732119924303569,3.470761855194678,0.0501625427536446,1.189658091570965,1.79056442562776,1.1939855401756214,2.2602958443556087,0.7237736823791953,2.375775160290474,1.1931539596568677,7.86,9.55,13.41,2.78,21.592483264351426,1.8706474705398863
110,20.760429573738957,19.08686900422266,20.88607313013211,16.317729861723787,19.524775170407388,16.973612672997334,20.9892358467184,14.96695239733364,23.94266928666013,21.954341398513144,23.916378997984552,19.64488057015346,25.88332599041389,24.317706476595124,26.401437349642908,23.02026614279641,23.233392687047207,21.115638707262352,23.84876268202764,18.805876851945747,28.907721305915167,25.93650008489167,28.367774370932985,22.84870174775511,27.327142658027856,24.92722439662284,28.306009905054253,23.8085895142493,17.018236794939096,14.63357593572538,18.8303932699077,11.438968089554546,19.49173520922363,16.998222699590197,21.92304909417144,15.40223238085696,0.6534471740671609,1.1790840431588543,2.08711261699782,3.3320620543714505,1.7822855668565034,1.5335317618107416,4.460494540348467,2.041411116425542,0.7398998593636472,1.845118991692744,3.4612133766106523,2.633145437377981,2.612337102771531,2.6165301197774644,3.551134142456308,3.8253650386844766,1.5007272281769857,3.931478049737308,2.0252807253207434,2.4796858747687613,0.0124640618519891,0.6583767982102036,0.9321207006036974,0.6473664381901975,0.6930263231745654,1.0602562535810072,3.2068580937892115,1.4718176472532822,2.4484644990816267,1.09907539557017,3.304251965108432,5.016478305885838,1.9529256777536304,2.071611131174944,2.995139162401278,1.436848283034558,7.63,10.2,11.78,2.44,21.437678673770417,2.0660721900458054
113,18.80550313297762,17.10283170122489,20.22101432971876,14.107748825004956,22.148944242588744,19.28770730476517,22.715140950506058,17.586023210071495,26.763438646517603,25.48576896269044,26.79057732605822,25.300031277296974,28.51399595032804,25.67537123197339,27.68532809728122,24.90847452384892,24.904356078501035,22.67608328509682,24.82085893046465,19.76888018337168,24.350398204611466,21.455505105975764,25.39891290550974,18.31891457857478,20.710021583272127,18.18326375610019,22.474505979739916,15.55773957526821,21.20212959762637,18.90654969944611,24.031849501769397,17.844215179932803,17.764257444109678,15.050695537665462,21.628404891601324,13.939279946107169,1.6513579417009692,1.5706714515150544,2.0174415462733,3.076153996389572,3.427339592354988,2.035917246984181,1.7258835972066475,3.979395880635281,1.6313397351691337,1.7713132543853043,2.1394948200784265,2.076148420128217,1.411938778580511,0.9301441966464422,1.9640493929716036,2.1297989299779934,1.5857516148532835,0.7245398180771546,4.112862646033269,5.098612750956405,0.3238695877099378,1.6126101336865497,2.951043619691849,1.822018406082345,3.5422047773450567,5.838244456342717,6.58616075151366,5.004562310374983,1.0123143734695206,2.194541247633656,2.836236547759211,2.949912450442491,3.2842465772853515,1.682541127557168,4.495069034924444,4.783101144895149,8.31,4.28,12.83,2.1,21.446797824377697,2.0556033229389454
